Country Name,Country Code,Time,Time Code,Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Belgium,BEL,2002,YR2002,89.9470901489258,96.2162170410156,91.5343933105469,85.9459457397461,89.0547256469727,93.0348281860352
Belgium,BEL,2003,YR2003,89.4179916381836,95.6756744384766,74.3718566894531,87.0270233154297,89.0547256469727,95.5223846435547
Belgium,BEL,2004,YR2004,90.1477813720703,93.532341003418,71.8446578979492,88.059700012207,88.9423065185547,90.8653869628906
Belgium,BEL,2005,YR2005,90.2439041137695,93.1372528076172,70.3883514404297,87.2549057006836,88.5167465209961,91.3461532592773
Belgium,BEL,2006,YR2006,88.7804870605469,94.1463394165039,73.9130401611328,88.7254867553711,88.9952163696289,92.788459777832
Belgium,BEL,2007,YR2007,90.291259765625,91.7475738525391,72.4637680053711,91.2621383666992,88.9952163696289,93.75
Belgium,BEL,2008,YR2008,90.7766952514648,87.8640747070313,67.788459777832,91.7475738525391,89.4230804443359,92.788459777832
Belgium,BEL,2009,YR2009,90.9090881347656,92.3444976806641,75.3554534912109,87.5598068237305,88.6255950927734,93.3649291992188
Belgium,BEL,2010,YR2010,90,93.3014373779297,74.407585144043,85.6459350585938,90.0473937988281,94.3127975463867
Belgium,BEL,2011,YR2011,90.5213241577148,94.7867279052734,78.1990509033203,86.7298583984375,90.1408462524414,92.9577484130859
Belgium,BEL,2012,YR2012,91.4691925048828,94.7867279052734,76.3033142089844,86.7298583984375,90.1408462524414,92.9577484130859
Belgium,BEL,2013,YR2013,90.9952621459961,94.7867279052734,77.7251205444336,87.6777267456055,90.1408462524414,92.9577484130859
Belgium,BEL,2014,YR2014,91.3461532592773,90.8653869628906,69.523811340332,84.1346130371094,88.9423065185547,94.0886688232422
Belgium,BEL,2015,YR2015,90.9523773193359,91.4285736083984,64.2857131958008,88.5714263916016,88.0952377319336,94.5812835693359
Belgium,BEL,2016,YR2016,91.9047622680664,89.523811340332,61.4285697937012,88.5714263916016,88.5714263916016,95.5665054321289
Belgium,BEL,2017,YR2017,89.523811340332,85.7142868041992,62.3809509277344,86.6666641235352,87.6190490722656,93.1034469604492
Belgium,BEL,2018,YR2018,89.523811340332,86.1904754638672,59.4339637756348,86.6666641235352,87.6190490722656,92.7184448242188
Belgium,BEL,2019,YR2019,89.523811340332,82.8571395874023,60.8490562438965,87.6190490722656,87.6190490722656,93.7198104858398
Belgium,BEL,2020,YR2020,90,84.2857131958008,64.1509399414063,89.0476226806641,87.6190490722656,90.8212585449219
Belgium,BEL,2021,YR2021,89.523811340332,83.3333358764648,67.4528274536133,86.6666641235352,87.6190490722656,90.3381652832031
Belgium,BEL,2022,YR2022,89.6226425170898,84.9056625366211,65.5660400390625,86.7924499511719,88.2075500488281,92.7536239624023
Czechia,CZE,1996,YR1996,74.7311859130859,72.1311492919922,87.7659606933594,82.0652160644531,79.8994979858398,78
Czechia,CZE,1998,YR1998,70.0534744262695,71.5847015380859,77.1276626586914,77.7173919677734,74.5,75.1243743896484
Czechia,CZE,2000,YR2000,60.638298034668,70.4918060302734,60.8465614318848,74.4565200805664,68.6567153930664,71.1442794799805
Czechia,CZE,2002,YR2002,67.7248687744141,81.0810775756836,83.0687866210938,83.2432403564453,78.1094512939453,76.6169128417969
Czechia,CZE,2003,YR2003,71.4285736083984,78.9189224243164,76.8844223022461,82.1621627807617,79.6019897460938,79.6019897460938
Czechia,CZE,2004,YR2004,68.4729080200195,79.1044769287109,68.4466018676758,79.1044769287109,70.1923065185547,80.288459777832
Czechia,CZE,2005,YR2005,68.7804870605469,76.9607849121094,77.6699066162109,80.3921585083008,78.4689025878906,75.961540222168
Czechia,CZE,2006,YR2006,67.8048782348633,83.4146347045898,85.5072479248047,83.3333358764648,74.6411514282227,77.4038467407227
Czechia,CZE,2007,YR2007,66.9902877807617,77.6699066162109,83.0917892456055,82.0388336181641,78.9473648071289,79.3269195556641
Czechia,CZE,2008,YR2008,66.019416809082,79.1262130737305,85.5769195556641,86.4077682495117,78.3653869628906,81.7307662963867
Czechia,CZE,2009,YR2009,68.8995208740234,76.0765533447266,79.1469192504883,87.0813369750977,80.568717956543,81.0426559448242
Czechia,CZE,2010,YR2010,69.0476226806641,77.0334930419922,82.9383850097656,86.1244049072266,79.620849609375,78.6729888916016
Czechia,CZE,2011,YR2011,68.7203826904297,77.2511825561523,88.6255950927734,85.3080596923828,81.2206573486328,79.8122100830078
Czechia,CZE,2012,YR2012,66.3507080078125,76.3033142089844,86.7298583984375,80.568717956543,81.2206573486328,76.9953079223633
Czechia,CZE,2013,YR2013,65.4028472900391,76.3033142089844,87.6777267456055,81.0426559448242,81.6901397705078,77.9342727661133
Czechia,CZE,2014,YR2014,67.3076934814453,81.25,83.3333358764648,80.7692337036133,84.6153869628906,78.8177337646484
Czechia,CZE,2015,YR2015,66.1904754638672,80.9523773193359,81.9047622680664,81.4285736083984,83.3333358764648,82.2660064697266
Czechia,CZE,2016,YR2016,67.1428604125977,78.5714263916016,80.9523773193359,80.9523773193359,81.4285736083984,81.2807846069336
Czechia,CZE,2017,YR2017,69.0476226806641,81.4285736083984,83.3333358764648,86.1904754638672,82.8571395874023,75.3694610595703
